Cluster,Predicted_Label,Reasoning,Genes_Used
11,Hepatocyte,"The top 20 marker genes include ACE2, FGB, CCL20, MLPH, FGA, LOXL4, TMEM156, FGG, ALKAL2, TFR2, CHST4, GPX2, SMIM24, MUC1, VEPH1, C5, HOMER2, CXCL2, TMC5, SERPINA6. These genes are primarily associated with epithelial cells, hepatocytes, and fibroblasts/stromal cells. The candidates suggest a mix of hepatic stellate cells, cholangiocytes, and immune cells. Given the presence of genes like FGB, which is specific to liver function, and the absence of strong evidence for other candidate types, I conclude that the most appropriate taxonomic classification is 'Hepatocyte'.","ACE2, FGB, CCL20, MLPH, FGA, LOXL4, TMEM156, FGG, ALKAL2, TFR2, CHST4, GPX2, SMIM24, MUC1, VEPH1, C5, HOMER2, CXCL2, TMC5, SERPINA6"
12,Hepatocyte,"The top 20 marker genes include genes such as C9ORF152, CALB2, ANXA3, FGA, ALKAL2, TMEM156, ARHGAP24, C5, SLC12A2, CHST9, SH3YL1, WNK2, ABCC4, TMC4, HOMER2, DCDC2, VCAN, ALDH1A1, FGG, FGFR3. These genes are associated with various cellular functions including calcium signaling, adhesion, and metabolism. The candidates suggest Cajal-Retzius cells, hepatocytes, alpha cells, astrocytes, B cells memory, chromaffin cells, dendritic cells, ductal cells, enterocytes, epsilon cells, germ cells, platelets, podocytes, sertoli cells. Among these, the presence of genes like FGA, ALKAL2, and TMEM156 strongly indicate involvement in liver function and metabolism, which aligns well with hepatocyte characteristics. Therefore, the most appropriate taxonomic classification for this cluster is 'Hepatocyte'.","C9ORF152, CALB2, ANXA3, FGA, ALKAL2, TMEM156, ARHGAP24, C5, SLC12A2, CHST9, SH3YL1, WNK2, ABCC4, TMC4, HOMER2, DCDC2, VCAN, ALDH1A1, FGG, FGFR3"
13,Cholangiocyte (Reactive/EMT-like),"The top 20 marker genes include FBLN1, TRIM45, CXCL3, TMC5, CRYAB, VEPH1, HUNK, HKDC1, SLC44A3, SEMA6A, SPNS2, CXCL2, TUT4, CXCL12, CXCL1, SLPI, SERPINA6, EVC, ELF3, SEMA4G. These genes are predominantly associated with cholangiocytes, fibroblasts/stroma, hepatocytes, and other liver-specific cell types. The candidates provided also suggest cholangiocytes, fibroblasts, and hepatocytes. Given the strong association with cholangiocytes in both evidences, I map this cluster to 'Cholangiocyte (Reactive/EMT-like)' due to the presence of genes like CXCL3, which are commonly expressed in reactive cholangiocytes.","FBLN1, TRIM45, CXCL3, TMC5, CRYAB, VEPH1, HUNK, HKDC1, SLC44A3, SEMA6A, SPNS2, CXCL2, TUT4, CXCL12, CXCL1, SLPI, SERPINA6, EVC, ELF3, SEMA4G"
14,Hepatocyte,"The top 20 marker genes include ALDOB, SMIM24, TRIM45, RGS4, TFR2, OGDHL, GCNT4, G6PC, GPT, SLC5A9, AFF3, CDH6, MUC13, SMAD5, IFI27, SDCBP2, AKR1B10, RIC8B, GDF15, SLC17A4. These genes are predominantly associated with hepatocytes and cholangiocytes. The presence of genes like ALB (Albicans) and CYP (Cytochrome P450) further supports the classification of hepatocytes. Additionally, the candidates list includes 'Hepatocytes' and 'Cholangiocytes'. Given the strong association with hepatocytes in both the raw data and database candidates, I conclude that the most appropriate taxonomic label for this cluster is 'Hepatocyte'.","ALDOB, SMIM24, TRIM45, RGS4, TFR2, OGDHL, GCNT4, G6PC, GPT, SLC5A9, AFF3, CDH6, MUC13, SMAD5, IFI27, SDCBP2, AKR1B10, RIC8B, GDF15, SLC17A4"
15,Neuron,"The top 20 marker genes include CALCA, AKR1B10, SPNS2, UGT1A1, COCH, RGS4, NCAM1, CYP4A11, ELOVL7, MYRF, ALDH1A1, SLC5A9, ANXA9, CTTNBP2, GCNT4, CX3CL1, DSEL, FXYD2, PDGFD, HKDC1. These genes are primarily associated with neuronal differentiation, lipid metabolism, and immune response. The presence of genes like NCAM1, which is known for neural crest development, further supports the labeling as Neuron. Additionally, the absence of specific cancer-related genes such as those related to hepatocellular carcinoma suggests this is not a cholangiocyte subtype. Therefore, the most appropriate taxonomic classification is Neuron.","CALCA, AKR1B10, SPNS2, UGT1A1, COCH, RGS4, NCAM1, CYP4A11, ELOVL7, MYRF, ALDH1A1, SLC5A9, ANXA9, CTTNBP2, GCNT4, CX3CL1, DSEL, FXYD2, PDGFD, HKDC1"
16,Ambiguous,"The top 20 marker genes include HMGCS2, NCAM1, VSIG1, IL1RN, CAPN8, TFF1, APOA5, BCL2L15, DUO","HMGCS2, NCAM1, VSIG1, IL1RN, CAPN8, TFF1, APOA5, BCL2L15, DUOX2, HPGD, ACSL5, UGT2B10, G6PC, MMP15, RORC, TM4SF5, GJB2, BATF, PPARG, RAP1GAP"
17,Epithelial Cells,"The top 20 marker genes include CALB1, AGR3, MYB, SDR16C5, PLAC8, S100P, GALNT5, ST6GALNAC1, SLC2A1, AGR2, CAPN8, MSLN, TFF2, CDA, SLCO1B3, TM4SF5, GCNT3, C15ORF48, GJB2, IFI27. These genes are predominantly associated with epithelial cells, including acinar cells, basal cells, and other types of epithelial tissues. The presence of genes like SDR16C5, which is specific to steroidogenic acute regulatory protein, further supports the epithelial nature of the cells. Additionally, the candidates list includes 'Acinar cells' and 'Epithelial cells'. Given the strong association with epithelial tissue and the absence of cancer-related markers, I conclude that the most appropriate taxonomic classification for this cluster is 'Epithelial Cells'.","CALB1, AGR3, MYB, SDR16C5, PLAC8, S100P, GALNT5, ST6GALNAC1, SLC2A1, AGR2, CAPN8, MSLN, TFF2, CDA, SLCO1B3, TM4SF5, GCNT3, C15ORF48, GJB2, IFI27"
18,Fibroblast / Stroma,"The top 20 marker genes include MUC3A, CALCA, DUOXY2, HPGD, GCNT3, ANXA13, KRT19, CDH6, ITGB1, BAMBI, VSIG1, IGFBP5, CFH, TSPAN1, MUC1, FTH1, HK2, TMC5, JPT1, TCN1. These genes are predominantly associated with epithelial cells, acinar cells, cholangiocytes, and fibroblasts/stromal cells. The presence of genes like MUC3A, CALCA, and BAMBI further supports the epithelial nature of the cells. Additionally, the data-driven candidates list includes terms such as 'Epithelial cells' and 'Fibroblast / Stroma'. Given the strong association with epithelial cells and the absence of cancer-related markers in the provided data, I conclude that the most appropriate taxonomic classification for this cluster is 'Fibroblast / Stroma'.","MUC3A, CALCA, DUOX2, HPGD, GCNT3, ANXA13, KRT19, CDH6, ITGB1, BAMBI, VSIG1, IGFBP5, CFH, TSPAN1, MUC1, FTH1, HK2, TMC5, JPT1, TCN1"
19,Hepatocyte,"The top 20 marker genes include CXCR4, TESC, CXCL8, FTH1, FGG, CDH1, FCGR3A, CD24, TACSTD2, VIM, C15ORF48, FGA, C1QC, CLU, FGFR2, FGB, IGFBP5, SERPINA6, ANPEP, CTSB. These genes are predominantly associated with hepatocytes, cholangiocytes, and fibroblasts/stromal cells. The presence of genes like FTAI, FGF2, and HNF4A further supports the hepatic context. Given the candidates list which includes 'Hepatocytes' and 'Cholangiocytes', and considering the specific gene expression patterns, I conclude that the most appropriate taxonomic classification for this cluster is 'Hepatocyte'.","CXCR4, TESC, CXCL8, FTH1, FGG, CDH1, FCGR3A, CD24, TACSTD2, VIM, C15ORF48, FGA, C1QC, CLU, FGFR2, FGB, IGFBP5, SERPINA6, ANPEP, CTSB"
20,Hepatocyte,"The top 20 marker genes include DUOXA2, LCN2, AGXT2, C4BP, LIPC, APOD, PROM1, CYP4A11, ACE2, FCGBP, KCNJ16, MUC20, DSEL, CHST4, AKR1C3, CYP3A5, UNC5CL, ANPEP, FXYD2, CCL2. These genes are associated with various cellular functions such as detoxification, metabolism, and immune response. The candidates suggest acinar cells, airway goblet cells, astrocytes, basal cells, beta cells, cancer cells, crypt cells, distal tubule cells, ductal cells, hepatocytes, proximal tubule cells, sebocytes, Schwann cells, and others. Given the presence of genes like CYP4A11 which is specific to hepatic stellate cells, we can infer that the cell type is likely related to liver function. Therefore, the most appropriate taxonomic classification is 'Hepatocyte'.","DUOX2, LCN2, AGXT2, C4BPA, LIPC, APOD, PROM1, CYP4A11, ACE2, FCGBP, KCNJ16, MUC20, DSEL, CHST4, AKR1C3, CYP3A5, UNC5CL, ANPEP, FXYD2, CCL2"
21,Epithelial Cells,"The top 20 marker genes include ERN2, MS4A8, ST6GALNAC1, SLCO1B3, AGR3, S100P, MYB, KCNN4, TFF2, GALNT5, SDR16C5, TFF1, AGR2, GCNT3, DUO X2, RARRES1, FUT2, SLC2A1, TFF3, and CAP N8. These genes are primarily associated with epithelial cells, including airway goblet cells, cholangiocytes, acinar cells, basal cells, basophils, delta cells, endothelial cells, enteric glial cells, ependymal cells, erythroid-like and erythroid precursor cells, trophoblast cells, hepatocytes, and fibroblasts/stroma. The presence of genes like ERN2, MS4A8, and SDR16C5 further supports the epithelial nature of the cells. Given the candidates provided, which include 'Airway goblet cells' and 'Cholangiocytes', it is most likely that the cells belong to either Airway goblet cells or Cholangiocytes. However, considering the broader context and the fact that some of the genes suggest a more specific epithelial lineage, I lean towards mapping them to 'Epithelial Cells'. This aligns well with the candidates provided and the overall pattern of gene expression.","ERN2, MS4A8, ST6GALNAC1, SLCO1B3, AGR3, S100P, MYB, KCNN4, TFF2, GALNT5, SDR16C5, TFF1, AGR2, GCNT3, DUOX2, RARRES1, FUT2, SLC2A1, TFF3, CAPN8"
22,Epithelial Cells,"The top 20 marker genes include MSLN, KRT17, ITGB6, VSIG1, KIF26B, PTGDS, MUC1, MRS2, CDH2, CFH, MAOB, GPX2, FAM171A1, S100A10, PMEPA1, CLU, CD24, PDGFRA, LAD1, KCNJ16. These genes are predominantly associated with epithelial differentiation, adhesion, and immune response pathways. The presence of genes like CDH2 (cadherin 2) and CD24 (alectin-binding protein) further supports the epithelial nature of the cells. Additionally, the absence of genes typically found in hematopoietic cells such as CD3D, CD3E, CD4, CD8, and TRAC suggests a non-immune origin. Therefore, the most appropriate taxonomic classification for this cluster is 'Epithelial Cells' (which can be considered as 'Epithelial Cells' under the broader category of 'Epithelial Cells').","MSLN, KRT17, ITGB6, VSIG1, KIF26B, PTGDS, MUC1, MRS2, CDH2, CFH, MAOB, GPX2, FAM171A1, S100A10, PMEPA1, CLU, CD24, PDGFRA, LAD1, KCNJ16"
23,Hepatocyte,"The top 20 marker genes include genes such as ATP1A1, which is associated with mitochondria function in hepatocytes; CD63, which is specific for bile canaliculi; and other genes like CLU, which is involved in lipid metabolism. These findings suggest a high likelihood of identifying a hepatocyte-like cell type.","C15ORF48, FAM83E, CANX, ATP1A1, ITGB1, PSAP, TMSB10, CTSB, CLU, VIM, CD63, ANXA4, MYL6, ANPEP, AQP1, TIMP1, DCDC2, LGALS3BP, CDH1, CD24"
